Location Code,Location,Vintage,Region,Wine Name,Grape/Blend,Quantity,Rating, Unit Purchase Price ,Type,Purchase Date,
TL1,Bar,2017,France,Domaine Lafage Bastide Miraflors Côtes du Roussillon,Syrah/Granache,1,, $14.25 ,Red,11/7/2020,
TL2,Bar,2017,Italy,Scaia Paradiso,Corvina/Rondinella/Cabernet,1,4, $19.00 ,Red,5/30/2020,
TL3,Bar,2016,Spain,Nubori Crianza Rioja,Tempranillo,1,4, $16.00 ,Red,11/23/2019,
TL3,Bar,2016,Spain,Cyan Toro,Tempranillo,1,, $16.50 ,Red,11/7/2020,
TL4,Bar,2016,California,Sterling,Merlot,1,4, $-   ,Red,,
AVIG,Crate,2019,New Zealand,Stratum,Pinot Noir,2,4, $-   ,Red,5/9/2020,
AVIG,Crate,2017,Spain,Senerio de Aldaz,Tempranillo,2,5, $10.00 ,Red,8/6/2020,
BREGA,Crate,2017,Spain,Senerio de Aldaz,Tempranillo,2,5, $10.00 ,Red,8/6/2020,
BREGA,Crate,2017,California,Game of Thrones,Red blend,1,, $23.00 ,Red,7/1/2020,
CUNA1,Crate,2015,Spain,Marques de Caceres Rioja,Tempranillo/Garnacha/Graciano,2,5, $11.00 ,Red,11/20/2019,
CUNA1,Crate,2018,France,Chateau Tertre,Bordeaux,2,, $9.17 ,Red,2/25/2021,
CUNA1,Crate,2017,Argentina,Empezar,Malbec/Cabernet/Petit Verdot,2,, $9.17 ,Red,2/25/2021,
CUNA2,Crate,2014,Australia,Wildberry Estate Two Passions,Cabernet,1,3, $-   ,Red,5/9/2020,
CUNA2,Crate,2017,Italy,Monte Tondo,Corvina,2,, $9.17 ,Red,2/25/2021,
CUNA2,Crate,2019,Italy,Ercole Barbera Del Monferrato,Barbera,1,4, $13.50 ,Red,11/7/2020,
CUNA2,Crate,2019,France,Maison la Berthaude Cotes du Rhone,Shiraz/Syrah/Grenache/Cinsault,1,, $13.50 ,Red,11/7/2020,
CUNA3,Crate,2014,Argentina,Famiglia Bianchi,Cabernet,2,4, $20.00 ,Red,7/1/2020,
CUNA3,Crate,2014,California,Clayhouse,Malbec,2,4, $18.00 ,Red,7/1/2020,
CUNA3,Crate,2017,Portugal,Charamba,Tinta Barroca/Tinta Roriz/Touriga,2,, $10.00 ,Red,9/30/2020,
CUNA4,Crate,2018,Germany,Valckenberg Dornfelder,Dornfelder Sweet Red,3,3, $15.00 ,Red,,
CUNA4,Crate,2017,Portugal,Esteva,Roriz/Barroca/Aragonez/Pinot Noir/Touriga,1,5, $12.00 ,Red,9/30/2019,
LABA,Crate,2013,France,Chateau le Erles Fitou,Syrah/Grenache/Malbec/Carignan,2,, $9.17 ,Red,2/25/2021,
LABA,Crate,2017,Spain,11 Pinos,Bobal,1,, $19.00 ,Red,9/30/2020,
LABA,Crate,2010,France,Chateau Labastide Orliac,Merlot/Cabernet Franc/Tannat,2,5, $20.00 ,Red,10/20/2019,
LABA,Crate,2018,Chile,Casas del Bosque,Carmanere Reserva,1,3, $-   ,Red,5/9/2020,
LABA,Crate,2018,Spain,Bodegas Virgen de la Sierra,Garnacha,3,, $14.00 ,Red,8/6/2020,
F,Fridge,2016,Italy,Costa Rosa Sangue di Giuda,Sweet Red,1,4, $13.00 ,Red,,
BB6,Pantry,2018,Germany,Valckenberg Dornfelder,Dornfelder Sweet Red,2,3, $15.00 ,Red,,
BWHITE,Pantry,2018,Italy,Mastroberardino Falaghina Del Sannio,Falaghina,2,, $-   ,White,3/14/2020,
BWHITE,Pantry,2017,Germany,Heinz Eifel,Riesling,1,, $14.00 ,White,4/20/2019,
FWHITE,Pantry,2019,New Zealand,Stratum,Sauvignon Blanc,1,, $-   ,White,,
FWHITE,Pantry,2018,Austria,Stadt Krems Kiemstal,Gruner Veltliner,3,, $17.00 ,White,,
FWHITE,Pantry,N/A,Spain,Castell de Sant Pau,Cava Sparking,2,4, $13.00 ,White,5/30/2020,
FWHITE,Pantry,N/A,Italy,Lovo,Prosecco Sparkling,3,5, $13.00 ,White,,
TR1,Rack,,,,,,,,,,
TR1,Rack,2017,France,Chateau Pontey Lamartine Graves,Savignon/Semilion,1,, $-   ,White,,
TR1,Rack,,Argentina,Zuccardi Serie A,Torrontes,1,5, $17.00 ,White,,
TR1,Rack,2017,South Africa,David Frost The Calene,Sauvignon Blanc,1,, $-   ,White,,
TR1,Rack,2016,South Africa,David Frost,Sauvignon Blanc,1,, $-   ,White,,
TR1,Rack,2015,Slovania,Colliano,Ribolla Gialla,1,4, $-   ,White,,
TR2,Rack,2017,France,Saint Cosme Cotes Du Rhone,Syrah,1,4, $20.00 ,Red,9/30/2020,
TR2,Rack,2018,France,Raisins Galois,Gamay (slightly sweet),1,4, $-   ,Red,1/25/2020,
TR2,Rack,2016,France,Chateau Hyot ,Bordeaux,1,4, $17.00 ,Red,10/12/2019,
TR2,Rack,2019,Chile,Pais Viejo,Pais,1,, $13.00 ,Red,9/30/2020,
TR3,Rack,2019,Argentina,Colonia Las Liebres,Bonarda,1,, $13.00 ,Red,1/6/2021,
TR3,Rack,2015,Italy,Inama Carmanere Piu,Carmenere,1,, $18.00 ,Red,11/7/2020,
TR3,Rack,2015,Argentina,Uno,Malbec,1,4, $11.00 ,Red,10/15/2019,
TR3,Rack,2018,Argentina,Almarada,Cabernet,1,, $-   ,Red,5/9/2020,
TR3,Rack,2018,New Zealand,Villa Maria,Pinot Noir,1,, $20.00 ,Red,1/6/2021,
TR4,Rack,2017,France,Proemio,Cabernet,1,, $9.17 ,Red,2/25/2021,
TR4,Rack,2013,Spain,Herederos Marques de Riscal Reserva Rioja,Tempranillo,1,5, $13.00 ,Red,11/20/2019,
TR4,Rack,2016,Washington,Revelry Vintners,Merlot,1,5, $21.00 ,Red,7/1/2020,
TR5,Rack,2017,Italy,Scaia Paradiso,Corvina/Rondinella/Cabernet,1,4, $19.00 ,Red,5/30/2020,
TR5,Rack,2016,Italy,Cantine Valpane Rosso Pietro,Barbera,1,, $18.00 ,Red,1/6/2021,
WF,Wfridge,2017,Italy,Cantine DEI Vino Noble de Montepulciano,Sangiovese,1,, $37.00 ,Red,2/26/2021,
WF,Wfridge,2015,Italy,Vitticio Riserva,Chianti (Sangiovese),2,4, $30.00 ,Red,7/1/2020,
WF,Wfridge,2015,Italy,Salvatore Molettieri Irpinia,Aglianico ,2,5, $24.44 ,Red,3/14/2020,
WF,Wfridge,2012,Spain,Carlos Serres Rioja Reserva,Tempranillo/Graziano,1,5, $27.00 ,Red,8/17/2019,
WF,Wfridge,2016,France,Chatteau Tronquoy-Lalande Saint-Estephe,Merlot/Cabernet S/Petit Verdot/Cabernet Franc,1,, $65.00 ,Red,2/9/2021,
WF,Wfridge,2015,France,Le Petit Haut-Lafitte Pessac-Leognan,Bordeaux,1,, $65.00 ,Red,2/9/2021,
WF,Wfridge,2016,Spain,Finca es Fangar Twenty-Twelve Black,Cabernet/Callet/Syrah/Gorgollasa/Manto Negro,1,, $40.00 ,Red,11/20/2020,
WF,Wfridge,2017,France,Domaine du Cellier Aux Moines Givry 1er Cru Clos du Cellier aux Moines,Pinot Noir,1,5, $69.00 ,Red,10/24/2020,
WF,Wfridge,2012,France,Chateau de Lastours Grand Reserve,Carignan/Syrah/Grenache/Mouvedre,1,5, $35.00 ,Red,7/1/2020,
WF,Wfridge,2015,France,Domaine Vieille Julienne Chateauneuf-du-Pape Les Trois Sources,Bordeaux,1,, $80.00 ,Red,2/9/2021,
WF,Wfridge,2016,California,Scholar and Mason,Cabernet,1,, $29.00 ,Red,1/6/2021,
WF,Wfridge,2015,Italy,Pagliarese,Chianti Classico,1,, $24.00 ,Red,1/6/2021,
WF,Wfridge,2015,France,Domaine D'Aupilhac Les Cocalieres,Granache/Syrah/Morverde,1,, $35.00 ,Red,1/6/2021,
WF,Wfridge,2015,Spain,Vina Alberdi Reserva Rioja,Tempranillo,1,5, $24.30 ,Red,2/6/2021,
WF,Wfridge,2016,Italy,Mara,Valpolicella Ripasso,1,4, $24.00 ,Red,6/30/2019,
WF,Wfridge,2016,Italy,Fonterutoli,Chianti (Sangiovese/Malvasia Nera/Colorino/Merlot,2,5, $39.00 ,Red,7/1/2020,
WF,Wfridge,2015,Spain,Muga Rioja Reserva,Tempranillo/garnacha/mazuelo/graciano,2,5, $33.00 ,Red,7/1/2020,
LB1,Wrack,2014,Argentina,Famiglia Bianchi,Cabernet,3,4, $20.00 ,Red,7/1/2020,
LB10,Wrack,2017,South Africa,Edgebaston The Pepper Pot,Syrah/Mourverde/Carignan/Tannat/Grenache/Cinsault,2,4, $-   ,Red,5/9/2020,
LB11,Wrack,2017,Spain,Senerio de Aldaz,Tempranillo,3,5, $10.00 ,Red,8/6/2020,
LB12,Wrack,2018,Spain,Bodegas Virgen de la Sierra,Garnacha,3,, $14.00 ,Red,8/6/2020,
LB2,Wrack,2017,Portugal,Altano,Douro,3,5, $12.00 ,Red,9/30/2019,
LB3,Wrack,2017,Portugal,Esteva,Roriz/Barroca/Aragonez/Pinot Noir/Touriga,3,5, $12.00 ,Red,9/30/2019,
LB4,Wrack,2016,Slovania,Anna's Vinyard,Merlot,2,5, $13.00 ,Red,9/30/2019,
LB6,Wrack,2013,Argentina,Antucura Calcura,Merlot/Cabernet/Malbec,3,5, $19.00 ,Red,2/6/2021,
LB7,Wrack,2014,California,Clayhouse,Malbec,3,4, $18.00 ,Red,7/1/2020,
LB8,Wrack,2018,Argentina,Antucura Malbec,Malbec,3,4, $-   ,Red,5/9/2020,
LB9,Wrack,2015,Spain,Cune Rioja Crianza,Tempranillo,2,4, $12.00 ,Red,11/20/2019,
RB1,Wrack,2018,Italy,La Quercia,Aglianico ,3,, $9.17 ,Red,2/25/2021,
RB10,Wrack,2013,France,Chateau de Lastours,Carignan/Syrah/Grenache,3,4, $14.00 ,Red,7/1/2020,
RB11,Wrack,2011,Italy,Matroneo Barco Reale Di Carmignano,Sangiovese/Cabernet,2,, $19.00 ,Red,1/6/2021,
RB12,Wrack,2015,Spain,Codice,Tempranillo,3,5, $10.00 ,Red,1/9/2020,
RB2,Wrack,2018,Italy,Mastro,Aglianico ,3,5, $14.00 ,Red,1/6/2021,
RB3,Wrack,2015,Spain,Marques de Caceres Rioja,Tempranillo/Garnacha/Graciano,3,5, $11.00 ,Red,11/20/2019,
RB4,Wrack,2016,France,Chateau Vieux Tuquet,Bordeaux,3,4, $17.00 ,Red,7/1/2020,
RB5,Wrack,2011,Spain,Triton,Mencia,3,5, $-   ,Red,3/14/2020,
RB6,Wrack,2018,Portugal,Ramos Reserva,Trincadeira/Aragonez/Syrah,2,5, $14.40 ,Red,2/6/2021,
RB7,Wrack,2018,France,Magnien Coteaux Bourguignons,Pinot Noir,3,5, $25.00 ,Red,10/24/2020,
RB8,Wrack,2016,France,Chateau Hyot ,Bordeaux,3,4, $17.00 ,Red,10/12/2019,
RB9,Wrack,2017,Italy,Castello di Farnetella,Chianti Colli Senesi,2,, $19.00 ,Red,1/6/2021,
